player_id;player;negotiations;battles;total
3867997;LordChriss;12;7666;7690
849577727;Kris5407;20;5922;5962
849705427;Wlodzimierz2011;5;5236;5246
851735;Kiee;0;5180;5180
849374241;encypency;108;4719;4935
849127561;as200;130;4627;4887
3924777;zetzet;10;4614;4634
1883873;kolekcjoner03;87;3633;3807
4069953;ANDRZEJ1977;95;2710;2900
4041098;lenarsun;22;2651;2695
1279580;Arkadiusz635;32;2614;2678
3217255;Irma;63;2384;2510
3842759;SilverCrash;61;2354;2476
3004064;Arii Arii;42;2205;2289
3680180;Flamber;0;2272;2272
849309544;Okeyka;15;2165;2195
4029865;kumitus;125;1900;2150
849064121;HenApo;73;1826;1972
849155848;evenezer;2;1872;1876
3160300;Alexx;6;1830;1842
849350675;SiD.;71;1387;1529
2284690;Trubibabur;4;1434;1442
4169471;Eurydike 252 Szlachetna;20;1332;1372
4167211;Szipu;11;1350;1372
1672494;..IRCIA..;5;1356;1366
1277454;Zuzia.;8;1270;1286
3269633;swirunh1;0;1216;1216
3912053;Malg5;0;1188;1188
3690072;Ami*;5;1022;1032
4173068;hiszpan11;4;944;952
849506096;zosia3456;0;933;933
1927134;Belinus 29 Gnębiciel;11;780;802
3903143;AZIRA;60;590;710
4120274;Belladonna*;10;674;694
2224850;RogerW;60;535;655
3561318;Imbleuuuu;0;646;646
3310730;Belinus 88 Straszliwy;12;619;643
1425318;TRIB;0;630;630
340920;arbuz27;9;602;620
2888109;piotr74c;0;575;575
3858502;WiktoreQ221;0;540;540
2630854;andy96;0;532;532
3347761;Araxu;0;514;514
626201;Gustlik 102;4;500;508
3320455;FrancuS1;0;501;501
849025082;antares0pl;12;445;469
849132471;koko koko;15;403;433
849222671;-Tekla-;69;236;374
2803523;Ury123;0;366;366
1183462;Brainpan;0;359;359
849033185;Patton 1985;0;321;321
674220;stempi;3;297;303
4157108;Mikołaj 138 Piękny;20;261;301
1040068;Doda21;0;300;300
773723;Pituś Malutki;50;200;300
849070129;Dawidf831;12;271;295
802254;CineqW;0;290;290
849425451;Mormider;9;259;277
799478;Dylu-Raf;0;261;261
2854299;Dodyś;0;260;260
146582;prion;0;254;254
2253263;Gawlorek;0;205;205
4207477;NiepokonanyBlake;0;120;120
848885148;Marcin XX Wielki;0;114;114
4150359;BenKiller;0;108;108
849624824;Kendra Volcano;0;74;74
2580060;Hit83;0;0;0
733438;nasze;0;0;0
849039871;-SilverHead-;0;0;0
